"rate"|"cv_text"|"country"|"user_skills"
"28"|"I am an experienced journalist, translator, researcher and freelance writer fromthe greater Tel Aviv area. As an experienced wordsmith, who loves the challenge of creating magic with letters, words and sentences, I bring to your project knowledge and experience gained from writing and editing dozens of articles and blog posts. I also have a wealth of experience writing in academic  contexts.I love to find Information, even if I have to travel very  far away to get it.In more recent times I have become a Wikipedia specialist and have... Since I know that screaming and shouting won't help, I developed other proven ways to get my readers’ attention and will use them to increase the visibility of your name, brand or company. Because It's not what you write, It's what they read . As an experienced researcher, I will perform the necessary online research, document review, personal interviews, or other research needed to complete the assigned work. As an experienced writer and translator, I know how to create a wellwritten piece that can propel the reader to act. Whether that be to buy, to give, to volunteer, or to change behavior.Whenever I undertake a writing project my goal is to organize the content of your articles, blog posts, press releases, Newsletters or product reviews into flowing and structured narrative that is intuitive to the reader. I strive to exceed expectations with every project I undertake and do my best to make your piece clean and free of errors. I enjoy making your content shine through. My writing style is creative, captivating and fresh. I am thrilled to work with businesses, nonprofit organizations, individuals, and other authors alike, and looking forward to help you with your writing needs. I will make sure that your content is relevant, interesting and with unique meaning. Let me surprise you with my wide ranging skills in areas like creative writing and research.Read More »"|"Israel"|"Microsoft Word;English;Content Writing;Business Writing;Report Writing;Creative Writing;Online Writing;Academic Writing;Grant Writing;Technical Writing;Resume Writing;Organizational Behavior;Market Research;Customer Service;Email"
"25"|"I specialize in corporate and marketing strategy consulting for large and SMEs, as well as business writing encompassing market research, business plan, academic writing, and grant/proposal writing.  My portfolio of clients include SMEs in consumer products, nonprofit organizations, and market research providers.  Having graduated with a Bachelor's degree in Engineering and Master's in MBA,  I have gained extensive work experience in research, manufacturing, postsecondary, and international commerce industry.Skills: Project management,... Business PlanGrant ProposalMarket Research ReportConsulting ReportBusiness ProposalAcademic WritingRead More »"|"Canada"|"Business Planning;Grant Writing;Financial Forecasting"
"33"|"Published author of \"Lily Laughs\", January 2015 by Steel Swan PublishingAn energetic writer looking to take on projects that utilize a variety of skills gained through experience and education over 20 years. Areas include business management, communication,customer service, entertainment, human resources, leadership, management, marketing, project management, quality, retail, safety, sales, supply chain management, teambuilding and transportation. Business writing, editing and proofreading such as contract proposals, grants, business plans, financial reports, technical writing, ebooks, training materials, quality documents and more.Creative writing such as short stories to fulllength novel manuscripts, both traditional and ebooks, also including screenplays.Read More »"|"United States"|"Content Writing;Business Writing;Report Writing;English;Resume Writing;Online Writing;Grant Writing;Business Planning;Operations Management;Technical Writing;Social Media Marketing"
"22"|"Ranked 75 out of total 72000+ Sales & Marketing professionals on Elance60+ recommendations makes me one of the most recommended Marketing / Advertising professionals on Linkedin (pk.linkedin.com/pub/awaissarfraz/9/927/822/)KEY STATISTICSLinkedin Specific Total Projects  20Linkedin Repeat Clients  55* Feedback ThroughoutOverall total 29 completed jobs and 7 repetitive clients shows the level of expertise & quality I put in a PROJECT.Client's feedback on Elance“Wow! Nailed it. Quick, prompt, accurate. The full package!”... On Individual BasisMarketing Strategy & PlanningSocial Media Planning & ManagementLinkedin Profile Development & MarketingBusiness WritingMarketing Campaign Development & ManagementMarketing StrategyAs an Agency (Red Soul Communication)Creative Design & DevelopmentWriting ProjectsAdd onsRead More »"|"Pakistan"|"Business Writing;Customer Service;Advertising;Internet Marketing;Marketing;Social Media Marketing;Facebook Marketing;LinkedIn Development;Business Development;Grant Writing"
"20"|"My name is Laura Pruett, and I have an addiction. When I see a misspelled word, an apostrophe where no sane apostrophe has any right to be, or a brutally spliced comma, my hands begin to tremble as I feverishly search for the nearest red pen.Although my bachelor's degree is in psychology, my English minor reflects my hidden interest in writing. I never dreamt of writing professionally; however, I always maintained a desire to someday become a professional editor. When I discovered Elance, I heard opportunity knocking, and I answered. I... My primary interests include editing, proofreading, or copyediting. I will also consider performing any other service that involves writing or the English language. Read More »"|"United States"|"Academic Writing;English;Microsoft Word;Online Writing;Creative Writing;English Spelling;eBay Web Services;Editing;English Grammar;Report Writing;Resume Writing;Business Writing;Medical Transcription;Grant Writing;English Punctuation"
"44"|"Ultimately it's true for any artist, writer or composer...that we are our own product. So anything I say here to further induce you is moot, until you discover who I really am and what I can do for you. So, let's start here and now: resume and website!O.K. We both know that resumes are mostly boilerplateMine is not. If you truly want to find out all about me You can go to my website: www.robertjosephahola.com/Go to About Robert and draw down on Resumé Or just click on (or copy and paste) this link: this link:... Four things about me tell everything: 1) I'm a very quick study. I'm really fun to work with. And I never miss a deadline. 2) I know which questions to ask, and will challenge you with fresh thinking and original concepts you never thought of before. 3) I love pressure. It restores me and rewards you. So bring it on. I'm available 24/7. And I promise you I will exceed expectations. My credo is simple: Success takes more than just thinking outside the box. It means first defining the box  and then building one of our own that is so very original it will redefine the genre. That's what making impact is all about...courage and imagination—the perfect cocktail! Let's do more than bring out a product or a service. Let's make history. Read More »"|"United States"|"Creative Writing;Ghostwriting;Brand Consulting;Screenwriting;Journalism Writing;Copywriting;Editing;Englsh;WordPress"
"47"|"Licensed, awardwinning physical therapist.Aren't you tired of redoing the work you hired out? A 5 star average: \"Wow! Amazed at the quality of your work Andrea! I'm adding you to my list of top notch writers/researchers for future projects. Thanks again for such an impeccable job.\" (1/9/15)Grantwriter, National Swimming Pool FoundationGrantwriter, Aquatic Therapy UniversityFreelance writer x 20 years with > 600 articles to datePhysical therapist. Awardwinning.Managing editor. Physical therapy journal, 3 yearsAs adjunct faculty... My specialty? Transforming medical, educational and rehabilitation facts into pithy, imminently readable information for the rest of the world. I speak you.I specialize in creating evidencebased training manuals, healthrelated grant applications, continuing education material, and seminars. My expertise includes:Academic WritingArticle WritingBusiness WritingGrant WritingMedical WritingTesting and Exam CreationWeb ContentBrief highlights:Over 600 solicited articles in printAward winning physical therapist, American Physical Therapy Association Aquatic Therapy Professional of the YearPaid monthly columnist for 3 magazinesAdjunct faculty, St. Catherine UniversityRehab director, Regions Hospital therapeutic poolGrant writer, Aquatic Therapy University/National Swimming Pool FoundationKey words: grant writing, physical therapy, occupational therapy, rehabilitation, education, exercise, fitness, aquatic therapy, medical writingRead More »"|"United States"|"Article Writing;Technical Writing;Physical Therapy;Ghostwriting;Medical Writing;Business Writing;Grant Writing;Journalism Writing;English;English Spelling"
"33"|"Bestselling author, awardwinning investigative reporter, writing coach, certified editor,and agencyrepresented children's book writer and illustrator. Member of the Society of Children's Book Writers and Illustrators.With over 250 satisfied clients in just over a year, I've become one of Elance's most soughtafter editors. I consistently rank in the top 0.01 percent of all Writing and Translation providers (the top 25 of 271,000plus providers).I edit books using publishing industry standards: The Chicago Manual of Style 16th Edition,... An excerpt from a review I edited for a client published in the Examiner:\"The writing is crisp, clear and simple – none of that “hooptedoodle” John Steinbeck said got in the way of a story, when an author takes off into the wild blue yonder in some kind of masturbatory pursuit of his muse.\"I am not someone who hangs a shingle out on Elance and purports to be an editor. I am a certified book editor with inhouse publishing experience. I  am the editor for both NY Times and Amazon bestselling authors. I know where to place a comma, when to use were vs. was, and all the other confusing intricacies of grammar.I am the manuscript editor and proofreader for Readers' Favorite, and I proofread the HowTo Geek website. I am a multiaward winning writer, having received 45 awards in the past 23 years. My work has been published in both large and small newspapers and magazines, including Good Housekeeping, The New York Times, USA Today, the Oswego County Business Magazine, Today's CNY Woman, New York State Magistrates magazine, any many others. I am an agencyrepresented children's author and the ghostwriter of dozens of children's books. I am also an artist and illustrator. If you are seeking a professionally polished manuscript, you've come to the right place.I also write winning book proposals, having spent five years as an acquisitions editor. I know what a publisher and literary agent look for in a submission and I keep updated regularly with changes in editing...Read More »"|"United States"|"English Spelling;Children's Writing;Editing;English Proofreading;Feature Writing;Fiction Writing;Journalism Writing;Letter Writing;Microsoft Word;Newsletter Writing"
"44"|"Experienced writer with BBC Radio 4 Comedy credits. Copywriter for major international brands. Creative linguist. Amateur lion tamer. Top 0.1% Elance Rank.My clients include broadcasters, entertainers, newspapers, video game producers and corporate brands. Here are a few examples of the outstanding client feedback I've received;\"This guy is a writing & comedy genius. I am not exaggerating when I say genius. He has special talent.\"  Strange Mysteries\"Ash has done an outstanding job for us. I've been impressed by how quickly he was able... I have worked as a professional writer for ten years within the copy writing and comedy writing sectors. However, I have additional experience as a nonleague football reporter, a media technician for Manchester United TV, researcher for BBC Manchester, and as a Brand Manager for Campus Group PR representing Jack Daniels and Cadburys.I am not merely someone who has worked behind a desk cranking out words my entire life, I am an experienced media professional who has worked in a variety of roles and gained some unique insights on the way. It is this experience, combined with my creativity, which makes me one of the most successful writers on Elance. So what can I do for you?Sketch / Joke Writing  I have written for Radio 4 shows and live entertainers in a variety of genres including topical, surreal and broad family friendly styles.  If your routine needs some zip and freshness, or if you just want a handful of one liners, I can help. See my portfolio for examples.Copy with character  Many brands are realising the folly of ladling SEO keywords into their bland, stodgy copy and wondering why nobody wants to read it. I offer a new way of enticing customers and boosting sales; the character copy. Your brand is unique, so you need a unique voice behind everything you do. Whether it is a simple tweet or your entire advertising campaign. SEO is kept to a minimum, and engagement is ramped up to maximum. I am working with some major international brands on copy of this...Read More »"|"United Kingdom"|"Comedy Writing;English;Creative Writing;English Spelling;English Grammar;Article Writing;Catch Phrases;One Line Jokes;Script Editing;Journalism Writing;English Proofreading;Radio & Television Writing;Speech Writing;Entertainment Reviewing;Copywriting"
"38"|"Professional U.S. Journalist with nearly 20 years of news writing experience, plus blogstyle writing, 1000+ real estate articles & travel.  I am used to researching and writing multiple stories on various topics on a daily basis.  I have a strong work ethic and excel at meeting tight deadlines."|"United States"|"Content Writing;Editing;English Spelling;Journalism Writing;Writing;Research"
"20"|"Wellrounded, experienced, organized, and motivated freelancer.  Stable, selfstarter.  I look forward to working through Upwork with future clients  see you on the new platform!Native US English.Typing 60 wpm; Proficient 10keyExperienced with:Document formattingForms creationMS Word, Excel, Outlook, Publisher, PowerPointMS Access data entry and developmentMailChimp, Zoho CRM, RecTracDropBox, Google Docs/DriveKnowledge of data entry, daily cash reconciliation, office procedures, electronic file maintenance, customer service,... Involved in customer service throughout my career directly and 'behind the scenes', I have been a computer and internet user since their infancy.I have considerable experience with word processing as well as data entry in Access, Excel, and other databases. I am a fast learner and always open to adding additional skills and concepts to my arsenal.Additional highlights:Experienced in document formatting:  Composition, editing, and production of employee operational handbooks and database operations guides.Experienced in MS Word/Excel forms creation.Experienced in MS Excel spreadsheet creation.Accurate data entry in MS Excel/Access, RecTrac, CRM.Have built and managed MS Access DB together with query and report functions.  Attention to detail and ease of application for the end user.Read More »"|"United States"|"English;English Spelling;Microsoft Word;General Office Skills;Microsoft Excel;Microsoft PowerPoint;Email;Email Etiquette;Time Management;Customer Service;Journalism Writing;MailChimp"
"33"|"When you're looking to hire a freelance writer, you want a craftsman. You want crisp, clean, engaging writing in your hand well before the deadline ... and at a reasonable price. You want to work with a proven professional who delivers exactly what you asked for.That's exactly what you'll get when we work together. I hold myself to a higher standard of professionalism and quality than most writers. With your project in my hands, you can breathe just a little easier, knowing that I'll deliver great content in the most stressfree way... As a copywriter and marketing consultant, I help companies turn their muddy visions into compelling messages that resonate with their customers. As a reporter and arts writer, I pen awardwinning stories out of subjects both exceptional and seemingly mundane. As an editor and ghostwriter, I turn unfinished ideas and looseatthehinges drafts into stories that grab the reader by the lapels and dare them to turn away.Over the course of my career, I've gained a variety of skills that put me in a different class from the writers you've encountered here.I've both written and drawn a number of creative and marketingoriented comics. I've produced, filmed and edited several popular internet video series, and served as the sole creative force behind a string of wellreceived podcasts. I have nearly a decade of print and digital publishing experience, with hundreds of magazine and website credits. I've worn almost every hat in the multimedia realm, from cameraman to video editor and from podcast host to graphic designer. For the right project, I'm invaluable.My technical skills include: basic web design (HTML/CSS, but not PHP); common CMS programs (IWordPress and ExpressionEngine well, and have worked in Drupal and Joomla); InDesign, QuarkXpress, MS Publisher, Acrobat; Premiere, but know Final Cut X (and 7), iMovie and BSE; Audition, Audacity, GarageBand; digital multimedia for business (compressing, marketing, targeting and tagging for sites like YouTube and Vimeo); digital...Read More »"|"United States"|"Social Media Marketing;Content Writing;WordPress;Ghostwriting;Journalism Writing;Editing;Press Release Writing;Bitcoin;podcasting;Copywriting"
"33"|"“Great writer. She is capable of not only writing well, but she also can adapt her tone of voice, which is a skill necessary for my company who creates content for many different health professionals. Though it is hard to write in the scientific field, Barbara does it with ease. Would recommend over and over again! ” “Barbara offers great work for an incredibly affordable price. I require a lot of work to be done on a nearly weekly basis, and she has been able turn projects around within a matter of days. I highly recommend. ” In the... I have years of experience blogging, writing web content for many different types of businesses, article marketing, and ebook content writing and formatting. Here are a few of the things that I can help you with:SEO content writingArticle marketing,ResearchGhost writingTech papersPress releaseEditorialsReviewsMy topics of expertise are:General health and wellnessAlternative healthcareMeditation and yogaFinanceRead More »"|"United States"|"Article Writing;Internet Research;Copywriting;Content Writing;Reviews;Online Writing;Microsoft Word;Ghostwriting;Journalism Writing;English;Report Writing;Resume Writing;Email;Telephone Skills;Travel Planning"
"15"|"I am a Canadianraised, trained and practiced journalist currently freelancing for a variety of publications and clients worldwide. Having a variety of clients has taught me, more than ever, to adapt the voice and tone of my writing. I work under tight deadlines and ensure my articles are succinct and wellresearched. These qualities can all be seen through the articles I write (see my portfolio here: kenwallingford.ca).My work has appeared in the Toronto Star, Rough Guides, VICE.com, enRoute Magazine (enroute.aircanada.com), and Emaho... Ask the people around me in my daily life and you'll know I'm a hard worker, always on the job and always keeping my eyes open for the next opportunity to learn something new about the world around me.I am quick to reply to emails and messages, and I'm always browsing news sites and social media to see what's happening and what's trending. I am a relentless worker, too; when I have a job to do, I don't stop until it's done, and done with quality.Read More »"|"United Kingdom"|"Journalism Writing;Article Writing;Travel Writing;Content Writing;WordPress;Adobe Photoshop;News reporting;Creative Writing;Copy Editing;Non-Fiction Writing"
"11"|"Freelance music journalist from Serbia. A tech savvy individual and an editor/writer at UltimateGuitar.com, one of the world's leading music sites with over 13 million unique monthly visitors."|"Serbia"|"English;Content Writing;Press Release Writing;Feature Writing;Online Writing;Journalism Writing;Editing;Search Engine Optimization (SEO);Joomla!;English Spelling"
"38"|"Ivy Leagueeducated writer, editor, and ghostwriter. I write about business, health & wellness, and the arts, among other things. I have ghostwritten two novellas, and assisted clients with short stories, novels, and screenplays. I have written copy for a restaurant, helped a selfpublished author promote her book, and interviewed Twitter founder Biz Stone. I am a gifted editor, both on the sentence level and the story level. • original content specializing in business, and health & wellness• academic writing: business, history, politics, the arts• fiction ghostwriting: all genres• manuscript consultation, fiction and nonfiction• copywriting• grantwritingRead More »"|"United States"|"English;Creative Writing;English Grammar;Article Writing;Copy Editing;Academic Writing;Journalism Writing;Ghostwriting;Business Writing;Copywriting;Proofreading"
"13"|"Just one of the many comments left by one of my clients.  \"Excellent transcription with very little need for minor editing. Managed fast speech and regional accents accurately. Acute grasp of grammar and colloquial phrases. Delivered before schedule and was professional at all times. Though more expensive than some other freelancers on Elance, this was completely justified given the fluency of the transcription. I did not need to spend more time correcting and ensuring the accuracy of the work as has been the case with cheaper proposals.... Audio document production.Reports.Interviews.Books.Dissertations.Articles.Legal Typing.Medical Typing.Medico Legal Typing.Read More »"|"United Kingdom"|"Microsoft Word;English;English Spelling;General Office Skills;Knowledge of Microsoft Office;Microsoft Excel;Expert typist with RSA qualications.;Transcription;Medical Transcription;Legal Transcription"
"18"|"I worked for 23 years for a Canadian national law firm using MS Office for corporate, patents, and some litigation and immigration work. Skills include typing of legal documents, preparation of PowerPoint presentations and marketing materials for audience handouts, changes in SharePoint, Acrobat portfolios, Excel entries, entries into InterAction contact database, and online research (including locating corporate background details and company registrations, and finding email addresses for seminar invitations), transcription. My home typing and Virtual Assistant business offers Ontario incorporations; resume and typing services; setup, posting to and managing of corporate Facebook pages; PowerPoint presentations; preparation of marketing materials; and detailed online research.Read More »"|"Canada"|"Microsoft PowerPoint;English;Microsoft Word;Word Processing;General Office Skills;Microsoft Office;Internet Research;Legal Transcription"
"16"|"Passionate about the work I do, I aim at providing an excellent service to my clients by employing variety of skill sets; from Word processing to Audio Editing. By paying close attention to detail, I am aim at providing a polished product, on a consistent basis.I personally handle all assignments and treat them with upmost integrity. Guaranteed confidentiality and nondisclosure of all work content. General Transcription Business TranscriptionProofreadingWPM +75Customer ServiceRead More »"|"Pakistan"|"Transcription;Microsoft Word;Customer Service;English;Computer Skills;Business Writing;Market Research;Customer support;Legal Transcription"
"33"|" A native German with a degree in English literature, a full teaching qualification + experience as an English/German teacher both in Germany and in England, a freelance translator and published writer. Graduated from Bonn University in 1984, qualified as a languages teacher in 1986 (Wiesbaden T. T. College).I spent the 1978/9 winter term at Edinburgh University where I did a course about systemic grammar and the teaching of literature. I learned that the interpretation of poetry can be  based on a matteroffact analysis of the structure... I can offer both EnglishGerman and GermanEnglish translations in the areas of literature, law, technology, medicine and most other subject areas. As a writer I can offer my services as ghostwriter, content writer and editor.I think my ratings speak for themselves and I am looking forward to working with you in the future.Read More »"|"United Kingdom"|"English Spelling;German;Translation German English;English;Translation English German;English Grammar;Creative Writing;Legal Transcription;company websites;Biographies;Proofreading (English and German);Content Writing"
"18"|"Experienced in transcription, with over ten years experience. Native English speaker with previous clients ranging from doctors, lawyers and business directors. I was born in England, and have an excellent command of the English language. I have spent time in America and Australia and I'm great with accents. Can transcribe from audio or video file. I am happy to use any format. I will also transcribe on to any file format you specify, be it, MSWord, Google docs, etc.All transcription is performed at a standard rate per audio minute. I will be able to email you the file, or upload to your cloud, ie. dropboxIf you have any special instructions, such as including the names of the speakers and any formatting preferences, please let me know. Read More »"|"United Kingdom"|"General Transcription;English Proofreading;Administrative Support;Computer Skills;Medical Transcription;Legal Transcription;Dictation;Data Entry;Typist;Transcriptionist;Audio Transcriber;English Spelling"
"4"|"Paralegal Studies graduate, Civil Service Commission registered professional, with knowledge on basic stenography and little background on office management. Fluent in English and Filipino.  Fast and efficient worker. Can easily understand and follow written and verbal command. Was awarded \"Best in Practicum\" during internship at a government office.Read More »"|"Philippines"|"English;English Punctuation;Translation Tagalog English;Legal Research;Legal Transcription;Paralegal Services;Copy Editing;English Spelling"
"65"|"“Lawtranscripts was nothing less than amazing. Not only did they complete the job at a much higher level than I expected but also helped me save money in the process. I would highly recommend them to anyone.”“Lawtranscripts was extremely fast, and willing to work with me moment by moment. The final product was delivered shockingly fast and in excellent professional condition. She knows what she's doing. ”“Laura's help with my transcription work has been indispensable.\"The testimonials listed above are from some of my Elance clients... A transcript is a piece of history that will resurface over and over again throughout time, throughout publications, used in quotes, used as a tool for marketing your most valuable asset, (you or your business), a tool needed for evidentiary value, writing that highly anticipated book, proving your thesis, or adding to your website where it will be viewed by millions of people.  My focus and goals are to provide you with the peace of mind that your piece of history, your transcript, is accurate, solid, and allows you to concentrate on growing your business.  By serving my clients with outstanding customer service gives them this peace of mind and the most accurate transcript they deserve.  I transcribe manually, with a foot pedal, and using my transcription software, Express Scribe and For the Record.  Specializing in law enforcement, criminal investigative interviews, law enforcement Internal Affairs Interviews transcription, criminal justice interviews, District Attorney's Investigative Interviews, legal and business interviews, focus groups, podcast interviews, book author interviews, dissertations, radio shows, health and wellness podcasts, workplace investigations, graduate studies required course interviews as it relates to their field of study, educational and scientific research interviews.I have been transcribing professionally for over 14 years and I have owned my own law enforcement transcription company for over 10 years that provided services for nine...Read More »"|"United States"|"Transcription;Audio Interviews;Video Interviews;Focus Group Interviews;Legal Transcription;Research focus group interviews;Podcast Interviews;Verbatim Interviews;Court Reporting Proofreading Scopist;Certified Proofreader Scopist Editor;Criminal Justice Interviews;Law Enforcement Interviews;Express Scribe;Quality Assurance Editing Proofreading;Workplace Investigation Interviews and Summaries"
"44"|"\"Tanya is probably one of the best transcribers I've ever hired on Elance or off. Her work is 150% impeccable. She has done three jobs for me already and every transcript has been perfect. I am elated that I found her and hope this is the start of a very long business relationship.\"\"I would recommend Tanya in a heartbeat to anyone who needs work transcribed, beautifully, fast and with exceptional communication. An incredibly easy and satisfying process and I am thrilled with the work. Thank you!!\" \"Another great performance by this... I am a professional transcriber with over 9 years work experience. I have worked with clients worldwide on several transcriptions including interviews, lectures, group discussions, webinars, medical reports, work notes, focus groups and more. I review and proofread all my work before sending it back to ensure the highest standard of work is maintained. Please click on the \"Portfolio\" section to view samples of my work.I have extensive experience in using MS Word, MS Excel and Powerpoint.  All transcribed documents are formatted as per the requirement. Read More »"|"United Arab Emirates"|"Transcription;Medical Transcription;Legal Transcription;Typing;English Spelling"
"3"|"PROFESSIONAL TRANSCRIBER  with over 14 years of  experience in Voice TRANSCRIPTION, DATA ENTRY and CONTENT WRITING.I believe that there are no shortcuts to success and hence put in my best efforts in each project.“pleasure to work with”“I am deeply indebted for the efforts made on my behalf. A person of integrity and dedication. I very highly endorse.”“This is one of many repeat jobs and I'm very happy with her.”At Elance, I am looking forward to taking challenging assignments and completing them accurately and on time to the... I am specialized in Transcription, article writing and data entry I have more than 14 years of experience in transcribing voice files of various types (general, medical and legal) from around the world.I am also  experienced in all kinds of data entry, Excel, MSOffice, administrative support works.Video transcription.CaptioningSubtitling Real estate agents data collection Collecting contact data of various businesses Adding Real listings, Vacation rental listings to websites Data Extraction from various online sources Data Mining Data Conversion Data entry PDF to excel Mailing list development Article submission Data Entry (Excel, etc.  any version) Research  Data Extraction Web data extraction Web ResearchConverting Jpg files to Mailing Listcollecting contact detailsshopping cart data entryproducts data entryonline catalog data entryfilling of formsExcel data entrydata entry into Excel, Access,word processing, etc. Experienced in submitting Articles to directories.Read More »"|"India"|"English;grammar;Content Writing;Data Entry;Microsoft Excel;pdf;Transcription;Medical Transcription;Computer Skills;General Office Skills;Microsoft Word;Legal Transcription;Research;Geology;gis"
"7"|" I am a college and university graduate who holds a Diploma in Early Childhood Education and a Bachelor's degree in Social Work. I have been doing transcription work for a year now and I am loving it.My proactive, positive, confident and outgoing personality has prepared me to be able to function effectively in this dynamic team environment. I am a fast typist and I always try to make my clients feel satisfied with the work I produce. I have worked in administration for over 3 years and I am skilled in many areas. These areas include, but not limited to: transcription, Microsoft word, PowerPoint, data entry,  content writing, customer service and general office skills. I have also administrate website before and upload content. Read More »"|"Jamaica"|"Customer Service;General Office Skills;Email;Microsoft Word;Transcription;Legal Transcription;Medical Transcription;Microsoft PowerPoint;Typing;Social Network Administration"
"26"|"Expert Transcriptionist  Proofreader  EditorSkills:  English language (spelling, grammar, sentence structure) Proofreading English  Writing and editing Touch typing  typing speed of approx. 85 words per minute Communication  Selfmotivated Time managementPrior to beginning my freelance transcription career in 2013, I was employed for over a decade in administrative roles, including four years as a legal secretary. This experience, as well as credit level qualifications in English and Business Administration, has provided... Transcription  I have experience transcribing single speaker dictation (including legal and medical), conferences and speeches, interviews and discussions, as well as meetings and focus groups in a range of different topics. I am comfortable transcribing many accents, and I am also confident researching difficult terminology to ensure the highest possible accuracy rate in all of my transcripts. I can transcribe your audio or video file(s) in either verbatim, intelligent verbatim or edited styles. If you have a template that you wish me to work from then I am happy to do so. If not, I will format your transcript in a professional and appropriate way. I ensure confidentiality with all work undertaken by offering to sign an NDA agreement and deleting all files upon completion of our transaction.Proofreading and editing  I offer a proofreading and editing service for many different types of text including web copy, blog posts and articles, ebooks, letters, emails, reports, transcripts...  I will ensure correct spelling and grammar is adhered to as well as editing the text, where appropriate, to allow sentences to flow naturally.  Using a professional proofreading service will provide you with the piece of mind that all of the I's are dotted and T's are crossed in your text.I will proofread and edit your text using the track changes function in Microsoft Word.  On delivery, I will provide you with your document highlighting what changes have been made as well as a...Read More »"|"United Kingdom"|"English;English Spelling;Transcription;Typing;Legal Transcription;microsoft word;medical transcription;English Grammar;English Proofreading;audio typing"
"3"|"PROFESSIONAL TRANSCRIBER  with over 14 years of  experience in Voice TRANSCRIPTION, DATA ENTRY and CONTENT WRITING.I believe that there are no shortcuts to success and hence put in my best efforts in each project.“pleasure to work with”“I am deeply indebted for the efforts made on my behalf. A person of integrity and dedication. I very highly endorse.”“This is one of many repeat jobs and I'm very happy with her.”At Elance, I am looking forward to taking challenging assignments and completing them accurately and on time to the... I am specialized in Transcription, article writing and data entry I have more than 14 years of experience in transcribing voice files of various types (general, medical and legal) from around the world.I am also  experienced in all kinds of data entry, Excel, MSOffice, administrative support works.Video transcription.CaptioningSubtitling Real estate agents data collection Collecting contact data of various businesses Adding Real listings, Vacation rental listings to websites Data Extraction from various online sources Data Mining Data Conversion Data entry PDF to excel Mailing list development Article submission Data Entry (Excel, etc.  any version) Research  Data Extraction Web data extraction Web ResearchConverting Jpg files to Mailing Listcollecting contact detailsshopping cart data entryproducts data entryonline catalog data entryfilling of formsExcel data entrydata entry into Excel, Access,word processing, etc. Experienced in submitting Articles to directories.Read More »"|"India"|"English;grammar;Content Writing;Data Entry;Microsoft Excel;pdf;Transcription;Medical Transcription;Computer Skills;General Office Skills;Microsoft Word;Legal Transcription;Research;Geology;gis"
"10"|"I am an experienced medical, legal, and general transcriptionist. As a small business owner, I understand the importance of accurate work and dedication to turnaround times. Your project will be completed timely with great attention to detail. I am a perfectionist with a strong desire to continually challenge myself and acquire knowledge. I believe in honesty and respect, and I know that strong communication is imperative in this remote work environment. I look forward to working with you. "|"United States"|"Legal Transcription;Transcription;Medical Billing and Coding;Editing;Proofreading;Medical Transcription;Medical Transcription;English"
"17"|"I am located in the Midwest and have been a transcriptionist since 1999.  I have experience in a wide variety of content in various genres and am excellent with accents.  I conduct business in a professional, confidential manner with attention to detail and a high degree of accuracy (above 99%).  I have templates that I use, but if you have your own that you would prefer, that's fine too.  Turnaround time is negotiable. Just let me know how soon you need it.  I would prefer to be paid based on the length of audio file. That way I know..."|"United States"|"English;Legal Transcription;Transcription;Microsoft Word;Microsoft Excel;English Grammar;English Proofreading;English Punctuation;English Spelling;Copy Editing"
""|"I am located in the Midwest and have been a transcriptionist since 1999.  I have experience in a wide variety of content in various genres and am excellent with accents.  I conduct business in a professional, confidential manner with attention to detail and a high degree of accuracy (above 99%).  I have templates that I use, but if you have your own that you would prefer, that's fine too.  Turnaround time is negotiable. Just let me know how soon you need it.  I would prefer to be paid based on the length of audio file. That way I know..."|"United States"|"English;Legal Transcription;Transcription;Microsoft Word;Microsoft Excel;English Grammar;English Proofreading;English Punctuation;English Spelling;Copy Editing"
"14"|"Transcription Guru"|"India"|"Transcription;English Proofreading;Medical Transcription;Legal Transcription;English Punctuation;English Spelling"
"20"|"I am an exceptional Transcriptionist with vast experience. I produce excellent transcripts beyond expectations. I am a professional and my work speaks for itself. "|"Saint Lucia"|"Transcription;Legal Transcription;Typing;Medical Transcription;Editing;General Office Skills;English;English Spelling;English Grammar;English Punctuation"
"3"|"PROFESSIONAL TRANSCRIBER  with over 14 years of  experience in Voice TRANSCRIPTION, DATA ENTRY and CONTENT WRITING.I believe that there are no shortcuts to success and hence put in my best efforts in each project.“pleasure to work with”“I am deeply indebted for the efforts made on my behalf. A person of integrity and dedication. I very highly endorse.”“This is one of many repeat jobs and I'm very happy with her.”At Elance, I am looking forward to taking challenging assignments and completing them accurately and on time to the... I am specialized in Transcription, article writing and data entry I have more than 14 years of experience in transcribing voice files of various types (general, medical and legal) from around the world.I am also  experienced in all kinds of data entry, Excel, MSOffice, administrative support works.Video transcription.CaptioningSubtitling Real estate agents data collection Collecting contact data of various businesses Adding Real listings, Vacation rental listings to websites Data Extraction from various online sources Data Mining Data Conversion Data entry PDF to excel Mailing list development Article submission Data Entry (Excel, etc.  any version) Research  Data Extraction Web data extraction Web ResearchConverting Jpg files to Mailing Listcollecting contact detailsshopping cart data entryproducts data entryonline catalog data entryfilling of formsExcel data entrydata entry into Excel, Access,word processing, etc. Experienced in submitting Articles to directories.Read More »"|"India"|"English;grammar;Content Writing;Data Entry;Microsoft Excel;pdf;Transcription;Medical Transcription;Computer Skills;General Office Skills;Microsoft Word;Legal Transcription;Research;Geology;gis"
